value,label,description
mobilite--acheter-un-vehicule-motorise,Acheter un véhicule motorisé,
mobilite--acheter-un-velo,Acheter un vélo,
mobilite--aides-a-la-reprise-demploi-ou-a-la-formation,Aides à la reprise d’emploi ou à la formation,
mobilite--apprendre-a-utiliser-un-deux-roues,Apprendre à utiliser un deux roues,
mobilite--comprendre-et-utiliser-les-transports-en-commun,Comprendre et utiliser les transports en commun,
mobilite--entretenir-reparer-son-vehicule,Entretenir ou réparer son véhicule,
mobilite--etre-accompagne-dans-son-parcours-mobilite,Être accompagné(e) dans son parcours mobilité,
mobilite--financer-mon-projet-mobilite,Financer mon projet mobilité,
mobilite--louer-un-vehicule,"Louer un véhicule (voiture, vélo, scooter..)",
mobilite--preparer-son-permis-de-conduire-se-reentrainer-a-la-conduite,"Préparer son permis de conduire, se réentraîner à la conduite",
numerique,Numérique,
numerique--acceder-a-du-materiel,Accéder à du matériel,
numerique--acceder-a-une-connexion-internet,Accéder à une connexion internet,
numerique--accompagner-les-demarches-de-sante,Accompagner les démarches de santé,
numerique--approfondir-ma-culture-numerique,Approfondir ma culture numérique,
numerique--creer-avec-le-numerique,Créer avec le numérique,
numerique--creer-et-developper-mon-entreprise,Créer et développer mon entreprise,
numerique--devenir-autonome-dans-les-demarches-administratives,Devenir autonome dans les démarches administratives,
numerique--favoriser-mon-insertion-professionnelle,Favoriser mon insertion professionnelle,
numerique--prendre-en-main-un-ordinateur,Prendre en main un ordinateur,
numerique--prendre-en-main-un-smartphone-ou-une-tablette,Prendre en main un smartphone ou une tablette,
numerique--promouvoir-la-citoyennete-numerique,Promouvoir la citoyenneté numérique,
numerique--realiser-des-demarches-administratives-avec-un-accompagnement,Réaliser des démarches administratives avec un accompagnement,
numerique--s-equiper-en-materiel-informatique,S’équiper en matériel informatique,
numerique--soutenir-la-parentalite-et-l-education-avec-le-numerique,Soutenir la parentalité et l’éducation avec le numérique,
numerique--utiliser-le-numerique-au-quotidien,Utiliser le numérique au quotidien,
preparer-sa-candidature,Préparer sa candidature,
preparer-sa-candidature--developper-son-reseau,Développer son réseau,
preparer-sa-candidature--organiser-ses-demarches-de-recherche-demploi,Organiser ses démarches de recherche d’emploi,
preparer-sa-candidature--realiser-un-cv-et-ou-une-lettre-de-motivation,Réaliser un CV et/ou une lettre de motivation,
preparer-sa-candidature--valoriser-ses-competences,Valoriser ses compétences,
remobilisation,Remobilisation,
remobilisation--bien-etre,Bien être,
remobilisation--decouvrir-son-potentiel-via-le-sport-et-la-culture,Découvrir son potentiel via le sport et la culture,
remobilisation--discrimination,Discrimination,
remobilisation--identifier-ses-competences-et-aptitudes,Identifier ses compétences et aptitudes,
remobilisation--lien-social,Lien social,
remobilisation--participer-a-des-actions-solidaires-ou-de-benevolat,Participer à des actions solidaires ou de bénévolat,
remobilisation--pression-sociale,Pression sociale,
remobilisation--restaurer-sa-confiance-son-image-de-soi,"Restaurer sa confiance, son image de soi",
sante,Santé,
sante--acces-aux-soins,Accès aux soins,
sante--accompagnement-de-la-femme-enceinte-du-bebe-et-du-jeune-enfant,"Accompagnement de la femme enceinte, du bébé et du jeune enfant",
sante--accompagner-les-traumatismes,Accompagner les traumatismes,
sante--bien-etre-psychologique,Bien être psychologique,
sante--diagnostic-et-accompagnement-a-lemployabilite,Diagnostic et accompagnement à l’employabilité,
sante--faire-face-a-une-situation-daddiction,Faire face à une situation d’addiction,
sante--obtenir-la-prise-en-charge-de-frais-medicaux,Obtenir la prise en charge de frais médicaux,
sante--prevention-et-acces-aux-soins,"Prévention et accès aux soins (vaccination, éducation à la santé, lutte contre la tuberculose…).",
sante--sante-mental,Accompagnement des aidants,
sante--se-soigner-et-prevenir-la-maladie,Se soigner et prévenir la maladie,
sante--vie-relationnelle-et-affective,"Vie relationnelle et affective, dépistage et prévention des IST/VIH…",
se-former,Se former,
se-former--monter-son-dossier-de-formation,Monter son dossier de formation,
se-former--trouver-sa-formation,Trouver sa formation,
se-former--utiliser-le-numerique,Utiliser le numérique,
souvrir-a-linternational,S’ouvrir à l’international,
souvrir-a-linternational--connaitre-les-opportunites-demploi-a-letranger,Connaître les opportunités d’emploi à l’étranger,
souvrir-a-linternational--sinformer-sur-les-aides-pour-travailler-a-letranger,S’informer sur les aides pour travailler à l’étranger,
souvrir-a-linternational--sorganiser-suite-a-son-retour-en-france,S’organiser suite à son retour en France,
trouver-un-emploi,Trouver un emploi,
trouver-un-emploi--convaincre-un-recruteur-en-entretien,Convaincre un recruteur en entretien,
trouver-un-emploi--faire-des-candidatures-spontanees,Faire des candidatures spontanées,
trouver-un-emploi--repondre-a-des-offres-demploi,Répondre à des offres d’emploi,
trouver-un-emploi--suivre-ses-candidatures-et-relancer-les-employeurs,Suivre ses candidatures et relancer les employeurs,
